id,sensor_id,recorded_at,seat_id,status
16071,2c:cf:67:ff:f5:f4,2026-06-25 14:32:42+05:30,Ground_Floor_Workstation_Seat_3,1
16072,2c:cf:67:ff:f5:f4,2026-06-25 14:32:42+05:30,Ground_Floor_Workstation_Seat_4,0
16073,2c:cf:67:ff:f5:f4,2026-06-25 14:33:00+05:30,Ground_Floor_Workstation_Seat_1,0
16074,2c:cf:67:ff:f5:f4,2026-06-25 14:33:00+05:30,Ground_Floor_Workstation_Seat_2,0
16075,2c:cf:67:ff:f5:f4,2026-06-25 14:33:00+05:30,Ground_Floor_Workstation_Seat_3,1
16076,2c:cf:67:ff:f5:f4,2026-06-25 14:33:00+05:30,Ground_Floor_Workstation_Seat_4,0
16077,2c:cf:67:ff:f5:f4,2026-06-25 14:33:38+05:30,Ground_Floor_Workstation_Seat_1,0
16078,2c:cf:67:ff:f5:f4,2026-06-25 14:33:38+05:30,Ground_Floor_Workstation_Seat_2,0
16079,2c:cf:67:ff:f5:f4,2026-06-25 14:33:38+05:30,Ground_Floor_Workstation_Seat_3,1
16080,2c:cf:67:ff:f5:f4,2026-06-25 14:33:38+05:30,Ground_Floor_Workstation_Seat_4,0
16081,2c:cf:67:ff:f5:f4,2026-06-25 14:34:14+05:30,Ground_Floor_Workstation_Seat_1,0
16082,2c:cf:67:ff:f5:f4,2026-06-25 14:34:14+05:30,Ground_Floor_Workstation_Seat_2,0
16083,2c:cf:67:ff:f5:f4,2026-06-25 14:34:14+05:30,Ground_Floor_Workstation_Seat_3,1
16084,2c:cf:67:ff:f5:f4,2026-06-25 14:34:14+05:30,Ground_Floor_Workstation_Seat_4,1
16085,2c:cf:67:ff:f5:f4,2026-06-25 14:34:32+05:30,Ground_Floor_Workstation_Seat_1,0
16086,2c:cf:67:ff:f5:f4,2026-06-25 14:34:32+05:30,Ground_Floor_Workstation_Seat_2,0
16087,2c:cf:67:ff:f5:f4,2026-06-25 14:34:32+05:30,Ground_Floor_Workstation_Seat_3,1
16088,2c:cf:67:ff:f5:f4,2026-06-25 14:34:32+05:30,Ground_Floor_Workstation_Seat_4,0
12093,2c:cf:67:ff:f5:f4,2026-06-22 21:39:41+05:30,Ground_Floor_Workstation_Seat_1,0
12094,2c:cf:67:ff:f5:f4,2026-06-22 21:39:41+05:30,Ground_Floor_Workstation_Seat_2,0
12095,2c:cf:67:ff:f5:f4,2026-06-22 21:39:41+05:30,Ground_Floor_Workstation_Seat_3,0
